"","Fruits","Non-starchy Vegetables","Potatoes","Other Starchy Vegetables","Beans and Legumes","Nuts and Seeds","Refined Grains","Whole Grains","Total Processed Meats","Unprocessed Red Meats","Fish","Shellfish","Eggs","Cheese","Yoghurt","Sugars","Milk","Salt"
"Sweden",180.8647525,255.9298856,160.7436584,1.309080041,6.587436641,11.76509162,256.9379909,160.6382125,73.83432672,151.4668633,76.81808773,26.80366223,46.48666017,52.27613741,147.5922085,146.1439567,566.7184203,8.417040816
"Turkey",411.7666662,716.7595024,247.1447697,0,54.59350732,56.89817274,1023.726416,14.91375598,13.25696719,153.0030291,23.83022888,2.937214257,38.51670256,11.46686966,40.16054255,144.1091392,743.7774155,6.916043901
"Albania",579.9466519,1024.129709,352.9464283,0,19.52231424,52.62445169,441.0751975,146.4272671,111.0455048,73.43142763,23.90590551,8.316719077,51.80010128,6.714533458,437.1672939,101.8361834,1075.100164,8.042544293
"Montenegro",579.8357099,590.5337163,131.2552479,4.981547585,32.42417267,22.58608136,350.4630906,245.5444486,96.4088308,209.5186761,54.17578965,13.73674382,56.5742561,17.31602432,40.49803083,464.0828,1379.744791,8.556241788
"Slovakia",164.3070285,200.5761328,168.5096628,9.387682353,5.619083663,14.44556261,197.0043132,143.7760495,143.6269317,80.7446904,36.90620857,0.501862669,47.41403062,25.14185876,123.6871843,249.2353427,620.6717284,7.277711439
"Slovenia",419.3309538,291.9031555,357.5740158,2.700019846,16.28953525,22.42829907,906.4108398,320.9453598,129.3091232,180.0754888,38.83287651,13.82485626,52.54753257,129.8265793,224.3122606,236.9980963,592.6295524,7.35980472
"Serbia",437.627062,256.8766428,173.4854307,0,15.80660349,22.68198204,523.8254701,138.9494345,94.85811432,184.5039522,26.12135455,1.053634469,45.40039278,1.96903215,346.3359212,153.8599002,687.4112674,5.640473191
"Croatia",262.792846,848.6511076,357.8771329,4.941023359,5.35204447,22.3702858,692.7048366,232.498413,85.76263665,173.3440397,68.57293115,20.78972153,40.19985545,13.96037907,69.49728946,259.1570902,982.0466096,7.620136054
"Bulgaria",191.8984911,301.2645282,109.2097713,7.662683245,8.779169822,16.59389577,416.7087312,147.8126947,77.78595644,149.635801,24.95070475,2.964821398,30.7902789,4.157161214,864.7520552,163.1123201,482.6374234,6.797822501
"Romania",344.369429,650.7234627,318.7407911,11.51151718,8.717104758,12.87658888,583.6608993,11.16594249,107.8042398,142.2966742,26.5652441,2.79257283,44.8207752,4.692656556,19.14596683,159.9312317,820.2122975,9.707842993
